Suburb,Postcode
Abbotsbury,2176
Abbotsford,2046
Acacia Gardens,2763
Airds,2560
Alexandria,2015
Alexandria,1435
Alfords Point,2234
Allambie,2100
Allambie Heights,2100
Allawah,2218
Ambarvale,2560
Annandale,2038
Annangrove,2156
Appin,2560
Arcadia,2159
Arcadia Vale,2283
Arncliffe,2205
Artarmon,2064
Artarmon,1570
Ashbury,2193
Ashcroft,2168
Ashfield,2131
Ashfield,1800
Asquith,2077
Auburn,2144
Auburn,1835
Audley,2232
Austinmer,2515
Austral,2171
Australia Square,1215
Avalon Beach,2107
Avoca Beach,2251
Awaba,2283
Badgerys Creek,2171
Balgowlah,2093
Balgowlah Distribution Centre,2093
Balgownie,2519
Balmain,2041
Balmoral,2283
Balmoral Village,2571
Bangor,2234
Banksia,2216
Banksmeadow,2019
Bankstown,2200
Bankstown,1885
Bankstown North,2200
Bankstown Square,2200
Barden Ridge,2234
Bardwell Park,2207
Bardwell Valley,2207
Bass Hill,2197
Bateau Bay,2261
Baulkham Hills,1755
Baulkham Hills,2153
Bay Village,2261
Bayview,2104
Beacon Hill,2100
Beaconsfield,2014
Beaconsfield,2015
Beaumont Hills,2155
Beecroft,2119
Belfield,2191
Bella Vista,2153
Bellambi,2518
Bellevue Hill,2023
Belmont,2280
Belmore,2192
Belrose,2085
Belrose West,2085
Ben Buckler,2026
Bensville,2251
Berala,2141
Berkeley,2506
Berkeley Vale,2261
Berkshire Park,2765
Berowra,2081
Berowra Heights,2082
Berowra Waters,2082
Berrilee,2159
Beverley Park,2217
Beverly Hills,2209
Bexley,2207
Bexley North,2207
Bexley South,2207
Bidwill,2770
Bilgola,2107
Bilpin,2758
Birchgrove,2041
Birrong,2143
Blackalls Park,2283
Blackett,2770
Blackheath,2785
Blacksmiths,2281
Blacktown,2148
Blacktown Westpoint,2148
Blackwall,2256
Blair Athol,2560
Blairmount,2559
Blakehurst,2221
Blaxcell,2142
Blaxland,2774
Blaxlands Ridge,2758
Blenheim Road,2113
Blue Bay,2261
Blue Haven,2262
Bolton Point,2283
Bondi,2026
Bondi Beach,2026
Bondi Junction,2022
Bondi Junction,1355
Bonnells Bay,2264
Bonnet Bay,2226
Bonnyrigg,2177
Bonnyrigg Heights,2177
Booker Bay,2257
Bossley Park,2176
Botany,2019
Botany,1455
Bow Bowing,2566
Bowen Mountain,2753
Box Hill,2765
Bradbury,2560
Brighton-le-Sands,2216
Brightwaters,2264
Bringelly,2171
Broadway,2007
Bronte,2024
Brooklyn,2083
Brookvale,2100
Budgewoi,2262
Buff Point,2262
Bullaburra,2784
Bulli,2516
Bundeena,2230
Burwood,2134
Burwood,1805
Burwood Heights,2136
